,nationality,percentage
0,England,100.0
1,France,22.695
2,Spain,21.986
3,Brazil,15.603
4,Belgium,14.184
5,Argentina,11.348
6,Netherlands,8.511
7,Wales,7.801
8,Germany,7.801
9,Serbia,4.255
10,Portugal,4.255
11,Ivory Coast,4.255
12,Scotland,3.546
13,Italy,2.837
14,Denmark,2.837
15,Republic of Ireland,2.837
16,Nigeria,2.837
17,Croatia,2.128
18,United States,2.128
19,Colombia,2.128
20,Poland,2.128
21,Cameroon,2.128
22,Switzerland,1.418
23,Sweden,1.418
24,Austria,1.418
25,Algeria,1.418
26,Ghana,1.418
27,Chile,1.418
28,Hungary,0.709
29,Romania,0.709
30,Czech Republic,0.709
31,Ukraine,0.709
32,Togo,0.709
33,DR Congo,0.709
34,Ecuador,0.709
35,Armenia,0.709
36,South Africa,0.709
37,Slovakia,0.709
38,Egypt,0.709
39,Senegal,0.709
40,Costa Rica,0.709
41,Estonia,0.709
42,Guinea,0.709
43,Bosnia Herzegovina,0.709
44,Northern Ireland,0.709
45,New Zealand,0.709
46,Burkina Faso,0.709
47,Cyprus,0.709
48,Libya,0.709
49,Kosovo,0.709
50,Korea Republic,0.709
51,Kenya,0.709
52,Jamaica,0.709
53,Lithuania,0.709
