,year,Teams,Transfer Spend (Euros),MA
0,2015,Bournemouth,49.604000000000006,
1,2016,Bournemouth,36.626,
2,2017,Bournemouth,30.869999999999997,39.03
3,2018,Bournemouth,80.19,49.23
4,2019,Bournemouth,50.809999999999995,53.96
5,2013,Arsenal,44.324999999999996,
6,2014,Arsenal,107.09,
7,2015,Arsenal,23.85,58.42
8,2016,Arsenal,101.736,77.56
9,2017,Arsenal,137.57,87.72
10,2018,Arsenal,72.14,103.82
11,2019,Arsenal,144.35999999999999,118.02
12,2013,Aston Villa,17.856000000000005,
13,2014,Aston Villa,12.105,
14,2015,Aston Villa,59.894999999999996,
15,2019,Aston Villa,143.19,
16,2017,Brighton & Hove Albion,60.300000000000004,
17,2018,Brighton & Hove Albion,79.854,
18,2019,Brighton & Hove Albion,67.45,69.2
19,2014,Burnley,11.354,
20,2016,Burnley,41.03999999999999,
21,2017,Burnley,32.166,
22,2018,Burnley,29.700000000000003,
23,2019,Burnley,17.47,
24,2013,Cardiff City,41.242999999999995,
25,2018,Cardiff City,46.09,
26,2013,Chelsea,117.32,
27,2014,Chelsea,123.93,
28,2015,Chelsea,81.45,107.57
29,2016,Chelsea,119.52,108.3
30,2017,Chelsea,234.45000000000002,145.14
31,2018,Chelsea,187.92000000000002,180.63
32,2019,Chelsea,40.5,154.29
33,2013,Crystal Palace,29.703,
34,2014,Crystal Palace,28.106,
35,2015,Crystal Palace,25.919999999999998,27.91
36,2016,Crystal Palace,91.17,48.4
37,2017,Crystal Palace,44.059999999999995,53.72
38,2018,Crystal Palace,10.670000000000002,48.63
39,2019,Crystal Palace,6.84,20.52
40,2013,Everton,28.62,
41,2014,Everton,36.14,
42,2015,Everton,44.01,36.26
43,2016,Everton,77.39999999999999,52.52
44,2017,Everton,182.88,101.43
45,2018,Everton,89.83,116.7
46,2019,Everton,108.89999999999999,127.2
47,2013,Fulham,26.369999999999997,
48,2018,Fulham,104.86000000000001,
49,2017,Huddersfield Town,51.08,
50,2018,Huddersfield Town,45.63,
51,2013,Hull City,28.0,
52,2014,Hull City,43.41100000000001,
53,2016,Hull City,36.00000000000001,
54,2014,Leicester City,20.57,
55,2015,Leicester City,44.91,
56,2016,Leicester City,82.44000000000001,49.31
57,2017,Leicester City,79.38,68.91
58,2018,Leicester City,103.13999999999997,88.32
59,2019,Leicester City,93.87,92.13
60,2013,Liverpool,52.29,
61,2014,Liverpool,136.29000000000002,
62,2015,Liverpool,113.85,100.81
63,2016,Liverpool,71.91,107.35
64,2017,Liverpool,156.495,114.08
65,2018,Liverpool,163.98,130.79
66,2019,Liverpool,9.36,109.94
67,2013,Manchester City,104.4,
68,2014,Manchester City,92.52000000000001,
69,2015,Manchester City,187.376,128.1
70,2016,Manchester City,193.5,157.8
71,2017,Manchester City,285.75,222.21
72,2018,Manchester City,70.731,183.33
73,2019,Manchester City,150.14000000000001,168.87
74,2013,Manchester United,69.42,
75,2014,Manchester United,175.82000000000002,
76,2015,Manchester United,140.39999999999998,128.55
77,2016,Manchester United,166.5,160.91
78,2017,Manchester United,178.56,161.82
79,2018,Manchester United,74.43,139.83
80,2019,Manchester United,192.6,148.53
81,2016,Middlesbrough,43.16,
82,2013,Newcastle United,3.42,
83,2014,Newcastle United,40.519999999999996,
84,2015,Newcastle United,97.12400000000001,
85,2017,Newcastle United,41.85,
86,2018,Newcastle United,53.78000000000001,
87,2019,Newcastle United,65.61,
88,2013,Norwich City,30.375000000000004,
89,2015,Norwich City,39.47,
90,2019,Norwich City,7.939000000000001,
91,2014,Queens Park Rangers,39.190999999999995,
92,2019,Sheffield United,64.35,
93,2013,Southampton,35.64,
94,2014,Southampton,86.4,
95,2015,Southampton,54.089999999999996,58.71
96,2016,Southampton,62.00999999999999,67.5
97,2017,Southampton,55.129999999999995,57.08
98,2018,Southampton,56.03,57.72
99,2019,Southampton,52.74,54.63
100,2013,Stoke City,6.3,
101,2014,Stoke City,1.62,
102,2015,Stoke City,48.29,18.74
103,2016,Stoke City,34.903,28.27
104,2017,Stoke City,51.93,45.04
105,2013,Sunderland,30.525000000000002,
106,2014,Sunderland,20.26,
107,2015,Sunderland,59.45,36.75
108,2016,Sunderland,37.72,39.14
109,2013,Swansea City,23.951,
110,2014,Swansea City,37.38,
111,2015,Swansea City,19.629,26.99
112,2016,Swansea City,52.29,36.43
113,2017,Swansea City,66.047,45.99
114,2013,Tottenham Hotspur,110.28,
115,2014,Tottenham Hotspur,43.64,
116,2015,Tottenham Hotspur,63.89999999999999,72.61
117,2016,Tottenham Hotspur,75.14999999999999,60.9
118,2017,Tottenham Hotspur,109.35000000000001,82.8
119,2018,Tottenham Hotspur,0.0,61.5
120,2019,Tottenham Hotspur,133.65000000000003,81.0
121,2015,Watford,75.17999999999999,
122,2016,Watford,63.41499999999999,
123,2017,Watford,64.26,67.62
124,2018,Watford,27.1,51.59
125,2019,Watford,43.2,44.85
126,2013,West Bromwich Albion,14.129999999999999,
127,2014,West Bromwich Albion,22.4,
128,2015,West Bromwich Albion,38.61,25.05
129,2016,West Bromwich Albion,34.11,31.71
130,2017,West Bromwich Albion,48.15,40.29
131,2013,West Ham United,21.599999999999998,
132,2014,West Ham United,31.64,
133,2015,West Ham United,47.43,33.56
134,2016,West Ham United,75.15,51.41
135,2017,West Ham United,51.120000000000005,57.9
136,2018,West Ham United,90.80999999999999,72.36
137,2019,West Ham United,108.18,83.37
138,2018,Wolverhampton Wanderers,101.03000000000002,
139,2019,Wolverhampton Wanderers,109.62,
