,nationality,percentage
0,Spain,100.0
1,Brazil,16.571
2,France,14.286
3,Argentina,9.714
4,Portugal,8.571
5,Uruguay,4.571
6,Colombia,4.0
7,Croatia,3.429
8,Italy,2.857
9,Belgium,2.857
10,Chile,2.286
11,Mexico,2.286
12,Netherlands,1.714
13,Cameroon,1.714
14,Germany,1.714
15,Serbia,1.143
16,Montenegro,1.143
17,Senegal,1.143
18,Denmark,1.143
19,Ghana,1.143
20,Slovenia,1.143
21,Paraguay,1.143
22,Tunisia,0.571
23,Russia,0.571
24,Turkey,0.571
25,Ukraine,0.571
26,Poland,0.571
27,Albania,0.571
28,Norway,0.571
29,Nigeria,0.571
30,Morocco,0.571
31,Algeria,0.571
32,Greece,0.571
33,Georgia,0.571
34,Finland,0.571
35,Czech Republic,0.571
36,Costa Rica,0.571
37,Austria,0.571
38,Australia,0.571
39,Wales,0.571
