,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage
0,2014,AC Chievo Verona,43,16,19,26.84,183.38,78.19,69.5,0,0
1,2014,AS Roma,70,31,14,26.24,182.09,75.61,73.45,0,0
2,2014,Atalanta,37,22,33,27.59,180.28,75.34,69.07,0,0
3,2014,Cesena,24,19,31,25.41,182.56,78.19,64.31,0,0
4,2014,Genoa,59,33,21,24.48,180.39,75.09,67.24,0,0
5,2014,AC Milan,52,30,19,27.48,183.44,78.48,76.67,0,0
6,2014,Palermo,49,30,25,25.57,184.43,78.0,67.3,0,0
7,2014,Sassuolo Calcio,49,25,22,26.93,183.0,76.7,69.07,0,0
8,2014,Torino,54,25,14,26.64,182.94,76.67,69.55,0,0
9,2014,Udinese Calcio,41,26,29,24.97,181.94,76.62,70.56,0,0
10,2014,Empoli,42,26,22,23.83,181.6,74.2,65.03,0,0
11,2014,Juventus,87,45,11,26.06,182.64,76.21,74.15,0,0
12,2014,Cagliari Calcio,34,24,36,22.56,180.19,73.06,66.81,0,0
13,2014,ACF Fiorentina,64,30,17,26.33,183.42,77.61,73.0,0,0
14,2014,FC Internazionale Milano,55,33,23,24.24,181.85,76.3,69.88,0,0
15,2014,SS Lazio,69,40,18,26.21,182.91,76.97,72.64,0,0
16,2014,Napoli,63,46,28,24.94,182.78,76.75,70.5,0,0
17,2014,Parma,26,19,27,27.0,182.52,76.12,68.27,0,0
18,2014,Sampdoria,56,23,15,25.18,183.43,77.64,69.68,0,0
19,2014,Hellas Verona,46,27,30,26.26,182.77,75.42,67.81,0,0
20,2015,SS Lazio,54,32,23,25.87,183.5,77.7,75.23,7606666,59100
21,2015,Hellas Verona,28,21,30,27.23,184.88,77.5,70.96,2210769,26500
22,2015,Empoli,46,22,20,24.6,181.64,75.48,68.48,1839600,18440
23,2015,ACF Fiorentina,64,34,16,25.76,184.24,78.16,73.96,5548000,43480
24,2015,Frosinone,31,18,26,25.57,182.46,75.43,66.75,1152321,6321
25,2015,FC Internazionale Milano,67,29,15,25.18,181.93,76.89,75.43,8390178,61786
26,2015,Juventus,91,37,6,26.31,182.96,77.31,79.35,15003846,102154
27,2015,Palermo,39,24,30,24.33,183.44,77.44,68.93,2221481,21296
28,2015,Sampdoria,40,29,25,25.54,182.54,77.39,70.46,3073571,29571
29,2015,Sassuolo Calcio,61,25,20,26.41,183.0,76.81,70.33,2776481,24333
30,2015,Bologna,42,20,21,26.0,182.19,74.84,69.39,2073064,20645
31,2015,AC Milan,57,28,22,26.26,182.81,77.93,76.26,7828703,65963
32,2015,Atalanta,45,27,21,27.7,182.63,77.52,71.81,2759629,29889
33,2015,Carpi,38,23,26,24.46,182.23,76.38,69.58,2037884,22846
34,2015,AC Chievo Verona,50,25,18,28.11,183.18,78.43,71.29,2349821,27821
35,2015,Genoa,46,29,19,25.62,181.38,75.55,71.79,3837413,34207
36,2015,Napoli,82,49,12,25.73,182.62,76.08,76.65,10291153,74000
37,2015,AS Roma,80,44,17,26.7,182.37,75.48,76.15,9617777,68556
38,2015,Torino,45,25,25,26.68,183.71,77.79,74.04,4833214,38214
39,2015,Udinese Calcio,39,18,28,25.36,182.46,76.04,72.32,3186607,30500
40,2016,Juventus,91,48,9,27.33,183.41,79.59,81.0,17967592,80630
41,2016,AS Roma,87,50,18,25.58,181.62,75.23,76.19,11063653,55731
42,2016,Atalanta,72,31,18,26.24,184.28,78.45,72.0,3467413,14207
43,2016,Bologna,41,24,25,24.9,183.32,75.58,72.26,3637903,13097
44,2016,AC Chievo Verona,43,25,30,28.23,183.1,78.0,71.3,2411500,4900
45,2016,Empoli,32,16,29,25.88,180.54,74.65,71.08,2790769,5192
46,2016,Genoa,36,24,24,25.03,181.52,75.86,71.34,3735689,16069
47,2016,AC Milan,63,32,20,25.48,183.44,76.7,76.78,8207407,51185
48,2016,Palermo,26,13,30,24.7,183.81,78.78,69.07,1993518,10000
49,2016,Pescara,18,19,38,24.58,181.03,75.12,67.09,1522272,2636
50,2016,SS Lazio,70,40,23,24.23,183.81,76.03,74.0,6903225,40161
51,2016,Napoli,86,44,19,25.52,182.3,75.52,77.78,12563703,56852
52,2016,Cagliari Calcio,47,38,34,28.33,183.12,75.38,72.12,2337083,6583
53,2016,FC Crotone,34,21,25,24.22,183.66,76.44,66.06,1153906,2375
54,2016,ACF Fiorentina,60,34,23,24.3,183.56,76.93,73.26,6502222,43000
55,2016,FC Internazionale Milano,62,44,22,25.48,182.33,75.45,75.15,10423181,54576
