Ranking,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage,Transfer Spend (Euros),MA
1,2019,Liverpool,99,85,33,24.0,180.48,73.18,76.0,18015303,88212,9.36,109.94
2,2019,Manchester City,81,102,35,24.09,180.45,74.12,76.85,22951363,112758,150.14,168.87
3,2019,Manchester United,66,66,36,24.76,183.21,75.36,77.45,19016666,106727,192.6,148.53
4,2019,Chelsea,66,69,54,25.21,182.82,77.0,76.79,18798787,98970,40.5,154.29
5,2019,Leicester City,62,67,41,25.64,181.94,78.3,73.97,7597727,44758,93.87,92.13
6,2019,Tottenham Hotspur,59,61,47,24.48,183.06,77.7,75.97,18203333,76606,133.65000000000003,81.0
7,2019,Wolverhampton Wanderers,59,51,40,22.97,182.42,78.45,68.64,5249090,28364,109.62,0.0
8,2019,Arsenal,56,56,48,24.61,182.97,75.48,74.79,12470909,76182,144.36,118.02
9,2019,Burnley,54,43,50,25.76,182.91,77.27,70.94,5955303,34848,17.47,0.0
10,2019,Sheffield United,54,39,39,25.6,182.03,75.13,66.27,1438500,7967,64.35,0.0
11,2019,Southampton,52,51,60,23.73,183.39,75.79,71.42,5977121,30152,52.74,54.63
12,2019,Everton,49,44,56,24.21,182.45,75.73,73.94,8438181,59606,108.9,127.2
13,2019,Newcastle United,44,38,58,24.67,182.76,79.12,70.97,5371818,29424,65.61,0.0
14,2019,Crystal Palace,43,31,50,25.21,183.42,75.06,71.12,5714696,32606,6.84,20.52
15,2019,Brighton & Hove Albion,41,39,54,25.39,181.88,76.64,71.24,4984545,28879,67.45,69.2
16,2019,West Ham United,39,49,62,25.61,181.94,75.64,72.91,7811060,53394,108.18,83.37
17,2019,Aston Villa,35,41,67,25.47,182.27,75.37,68.8,3128000,16100,143.19,0.0
18,2019,Bournemouth,34,40,65,24.42,181.33,74.48,69.82,4545757,32364,50.81,53.96
19,2019,Watford,34,36,64,26.06,184.64,80.3,72.76,5983636,35939,43.2,44.85
20,2019,Norwich City,21,26,75,24.9,182.43,76.5,68.73,1979166,13067,7.939000000000001,0.0
1,2018,Manchester City,98,57,12,23.48,181.67,74.15,74.12,17536818,95667,70.73100000000002,183.33
