,Country,Ranking,Teams,Points,Year,Goals+,Goals-,avg player rating,Shots pg,Possession%,Pass%,MA
0,England,1,Liverpool,28.0,2020,49.142857142857146,22.857142857142858,76.2,15.4,60.5,86.0,92.42999999999999
1,England,2,Tottenham,25.0,2020,25.0,12.0,74.4047619047619,11.3,48.5,79.9,0.0
2,England,3,Southampton,24.0,2020,33.285714285714285,30.0,69.43243243243244,10.2,53.0,79.3,49.824285714285715
3,England,4,Leicester,24.0,2020,24.0,17.0,72.925,11.6,53.2,82.1,0.0
4,England,5,Everton,23.0,2020,35.142857142857146,30.0,72.81395348837209,10.9,50.0,82.8,66.02714285714286
5,England,6,Manchester United,23.0,2020,39.142857142857146,21.0,75.86666666666666,14.4,52.3,83.9,120.61714285714287
6,England,7,Chelsea,22.0,2020,46.285714285714285,25.0,74.55555555555556,13.7,56.9,86.1,115.60857142857142
7,England,8,West Ham,21.0,2020,21.0,16.0,70.425,11.8,43.1,77.4,0.0
8,England,9,Manchester City,20.0,2020,57.857142857142854,21.285714285714285,74.90243902439025,15.6,59.8,88.3,134.93428571428572
9,England,10,Wolverhampton Wanderers,20.0,2020,30.666666666666668,26.0,68.0,12.1,48.9,82.6,0.0
10,England,11,Aston Villa,19.0,2020,26.75,42.0,70.25581395348837,15.9,50.1,78.0,0.0
11,England,12,Crystal Palace,18.0,2020,26.857142857142858,31.0,69.38095238095238,9.8,44.3,76.8,28.454285714285714
12,England,13,Leeds,17.0,2020,22.0,24.0,66.97368421052632,15.2,57.6,82.8,0.0
13,England,14,Newcastle United,17.0,2020,28.5,34.666666666666664,72.25,8.9,41.6,75.5,0.0
14,England,15,Arsenal,14.0,2020,43.42857142857143,23.285714285714285,73.62790697674419,11.4,51.7,84.2,73.25857142857144
15,England,16,Brighton,11.0,2020,15.0,21.0,69.83783783783784,12.7,52.6,81.5,0.0
16,England,17,Burnley,10.0,2020,23.833333333333332,31.666666666666668,69.47368421052632,9.1,42.9,71.9,0.0
17,England,18,Fulham,9.0,2020,17.0,29.0,68.78048780487805,11.5,48.5,81.8,0.0
18,England,19,West Bromwich Albion,7.0,2020,23.2,30.8,68.97368421052632,8.2,41.8,75.0,22.145999999999997
19,England,20,Sheffield United,1.0,2020,23.0,31.5,69.26470588235294,8.4,42.4,75.8,0.0
20,Italy,1,AC Milan,28.0,2020,37.42857142857143,26.285714285714285,74.3170731707317,15.6,50.7,82.9,70.95285714285714
21,Italy,2,Inter,27.0,2020,30.0,15.0,76.45238095238095,15.6,53.1,86.5,0.0
22,Italy,3,Juventus,24.0,2020,48.714285714285715,16.142857142857142,77.4,15.5,57.8,88.8,112.81285714285715
23,Italy,4,Roma,24.0,2020,27.0,17.0,74.1470588235294,14.9,50.8,84.4,0.0
24,Italy,5,Napoli,23.0,2020,47.714285714285715,25.857142857142858,76.11428571428571,19.1,56.9,88.5,56.455714285714286
25,Italy,6,Sassuolo,23.0,2020,22.0,13.0,70.875,13.4,57.8,87.2,0.0
26,Italy,7,Verona,19.0,2020,16.0,11.0,66.72727272727273,10.4,47.8,74.5,0.0
27,Italy,8,Atalanta,18.0,2020,40.285714285714285,28.285714285714285,72.76923076923077,16.9,52.3,84.1,22.264285714285712
28,Italy,9,Lazio,18.0,2020,18.0,20.0,74.1,11.9,51.2,83.0,0.0
29,Italy,10,Udinese,14.0,2020,13.0,14.0,70.97142857142858,12.3,48.0,83.1,0.0
30,Italy,11,Sampdoria,14.0,2020,33.57142857142857,30.142857142857142,70.54285714285714,11.0,43.4,75.7,29.315714285714282
31,Italy,12,Cagliari,13.0,2020,18.0,23.0,70.6,10.6,45.3,81.1,0.0
32,Italy,13,Bologna,13.0,2020,27.833333333333332,30.5,69.26470588235294,12.9,51.2,82.3,0.0
33,Italy,14,Parma Calcio 1913,12.0,2020,12.0,19.0,70.87878787878788,8.9,46.7,82.1,0.0
