,Ranking,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage,Shots pg,Yellowcard,RedCard,Possession%,Pass%,AerialsWon
0,1,2014,FC Barcelona,94.0,110.0,21.0,25.54,178.12,71.92,79.75,0.0,0.0,16.4,67.0,3.0,65.3,88.2,10.3
1,2,2014,Real Madrid,92.0,118.0,38.0,23.79,181.73,75.82,75.21,0.0,0.0,18.1,85.0,3.0,56.2,86.3,13.2
2,3,2014,Atlético Madrid,78.0,67.0,29.0,24.69,181.28,75.1,74.45,0.0,0.0,11.5,110.0,5.0,49.4,76.3,23.3
3,4,2014,Valencia CF,77.0,70.0,32.0,22.71,179.03,73.77,72.65,0.0,0.0,11.6,103.0,9.0,50.8,77.8,18.8
4,5,2014,Sevilla FC,74.0,70.0,45.0,24.09,179.7,74.33,71.58,0.0,0.0,12.2,116.0,2.0,49.9,76.2,17.0
5,6,2014,Villarreal CF,60.0,48.0,37.0,23.85,179.36,74.06,70.88,0.0,0.0,13.3,94.0,2.0,48.9,75.2,16.7
6,7,2014,Athletic Club Bilbao,55.0,42.0,41.0,24.39,181.06,75.27,70.88,0.0,0.0,11.7,96.0,4.0,50.8,73.2,22.7
7,8,2014,RC Celta Vigo,51.0,47.0,44.0,23.43,179.43,74.17,68.1,0.0,0.0,13.1,117.0,5.0,55.2,79.6,18.9
8,9,2014,Málaga CF,,,,25.0,179.12,72.47,70.5,0.0,0.0,,,,,,
9,10,2014,Rayo Vallecano,49.0,47.0,51.0,24.84,178.91,72.66,68.66,0.0,0.0,9.7,111.0,6.0,46.1,72.2,17.6
10,11,2014,RCD Espanyol,49.0,46.0,68.0,24.3,180.06,73.55,67.15,0.0,0.0,12.9,106.0,6.0,55.4,78.7,17.9
11,12,2014,Real Sociedad,46.0,44.0,51.0,24.48,181.68,75.26,70.29,0.0,0.0,11.3,88.0,1.0,50.3,75.0,21.2
12,12,2014,Real Sociedad,51.0,42.0,47.0,24.48,181.68,75.26,70.29,0.0,0.0,12.1,107.0,8.0,48.9,74.2,15.5
13,13,2014,Elche CF,41.0,35.0,62.0,24.36,180.61,75.04,67.54,0.0,0.0,10.7,103.0,6.0,47.9,75.1,15.6
14,14,2014,Levante UD,37.0,34.0,67.0,26.07,180.93,75.27,69.93,0.0,0.0,10.6,107.0,3.0,44.1,71.1,19.1
15,15,2014,Getafe CF,37.0,33.0,64.0,25.73,181.42,75.0,68.65,0.0,0.0,11.1,96.0,4.0,47.3,74.3,16.9
16,16,2014,Granada CF,35.0,35.0,60.0,24.69,181.25,77.53,68.34,0.0,0.0,10.5,103.0,4.0,48.4,75.0,17.0
17,17,2014,SD Eibar,35.0,29.0,64.0,27.43,181.7,77.17,70.35,0.0,0.0,10.6,112.0,5.0,46.9,74.3,17.4
18,18,2014,RCD La Coruña,35.0,34.0,55.0,25.12,179.76,73.36,68.64,0.0,0.0,9.3,103.0,5.0,44.6,68.2,20.3
19,19,2014,UD Almería,32.0,35.0,64.0,23.87,178.5,72.63,68.17,0.0,0.0,10.4,107.0,11.0,46.0,70.6,16.2
20,20,2014,Córdoba CF,20.0,12.0,33.0,24.88,180.31,73.53,67.5,0.0,0.0,10.2,95.0,9.0,47.4,75.6,18.9
21,1,2015,FC Barcelona,91.0,67.0,14.0,24.97,179.1,74.1,78.59,20170689.0,120724.0,15.9,66.0,1.0,62.9,86.8,9.9
22,2,2015,Real Madrid,90.0,70.0,16.0,23.81,181.42,75.03,77.13,19692741.0,106581.0,18.7,68.0,5.0,56.0,86.7,11.3
23,3,2015,Atlético Madrid,88.0,33.0,7.0,24.88,181.48,74.16,76.92,12458000.0,82960.0,12.5,88.0,3.0,48.7,77.9,16.5
24,4,2015,Villarreal CF,64.0,26.0,12.0,24.21,181.32,74.5,74.25,7024107.0,40500.0,9.0,96.0,4.0,47.1,76.2,13.2
25,5,2015,Athletic Club Bilbao,62.0,35.0,17.0,26.2,182.0,76.84,76.12,8057000.0,63280.0,12.0,83.0,6.0,49.3,74.4,21.2
26,6,2015,RC Celta Vigo,60.0,29.0,25.0,23.06,179.55,74.03,70.77,4229354.0,30742.0,11.7,109.0,7.0,55.0,79.5,15.2
27,7,2015,Sevilla FC,52.0,38.0,21.0,25.47,181.16,76.06,74.66,8131875.0,60281.0,12.1,95.0,8.0,49.6,77.3,16.3
28,8,2015,Málaga CF,48.0,26.0,15.0,25.39,179.9,73.26,71.48,3612580.0,31323.0,11.9,104.0,5.0,48.6,73.2,17.1
29,9,2015,Real Sociedad,48.0,22.0,20.0,24.69,182.22,75.56,72.38,5696093.0,49125.0,12.0,104.0,5.0,51.6,77.0,17.8
30,10,2015,Real Betis,45.0,17.0,23.0,25.72,181.59,75.78,71.44,2664687.0,29250.0,10.4,105.0,5.0,47.7,74.6,15.2
31,11,2015,UD Las Palmas,44.0,25.0,17.0,27.1,180.31,73.9,70.24,1895172.0,22759.0,11.0,95.0,4.0,53.9,81.3,14.1
32,12,2015,Valencia CF,44.0,25.0,23.0,23.19,179.32,74.55,74.39,9423064.0,58290.0,10.5,103.0,7.0,50.2,78.8,15.7
33,13,2015,RCD Espanyol,43.0,22.0,28.0,24.07,181.62,75.52,70.86,2964655.0,28655.0,10.3,122.0,5.0,47.2,74.9,15.7
34,14,2015,SD Eibar,43.0,26.0,22.0,24.67,180.85,74.56,69.11,2375925.0,10963.0,11.0,103.0,4.0,46.1,68.6,18.8
35,15,2015,RCD La Coruña,42.0,25.0,34.0,26.79,180.29,74.57,72.21,3210714.0,31643.0,12.0,80.0,4.0,47.7,75.0,15.1
36,16,2015,Sporting Gijón,39.0,28.0,28.0,23.81,180.52,73.74,70.37,2653518.0,23259.0,11.3,134.0,7.0,46.3,73.2,14.6
37,17,2015,Granada CF,39.0,26.0,31.0,24.07,181.53,76.57,70.73,2601333.0,26700.0,9.8,98.0,6.0,44.5,72.1,13.9
38,18,2015,Rayo Vallecano,38.0,29.0,29.0,26.57,180.68,74.75,71.46,2899107.0,30607.0,13.2,108.0,10.0,53.8,77.1,17.1
39,19,2015,Getafe CF,36.0,23.0,20.0,24.28,181.34,74.38,71.03,3335344.0,30241.0,11.5,124.0,6.0,47.0,75.2,12.1
40,20,2015,Levante UD,32.0,23.0,26.0,25.57,181.14,75.21,70.93,2863571.0,28643.0,11.4,1257.0,7.0,47.0,73.3,18.7
41,1,2016,Real Madrid,93.0,48.0,20.0,24.09,180.79,74.79,78.55,23399242.0,82848.0,17.4,75.0,2.0,54.8,86.5,12.8
42,2,2016,FC Barcelona,90.0,64.0,17.0,23.88,180.5,74.91,77.81,21955468.0,79688.0,17.1,73.0,1.0,62.1,86.7,9.1
43,3,2016,Atlético Madrid,78.0,40.0,14.0,25.1,181.28,74.07,77.45,17008448.0,63862.0,13.3,80.0,3.0,49.0,78.9,16.1
44,4,2016,Sevilla FC,72.0,39.0,16.0,25.74,181.7,75.96,77.52,11730370.0,61333.0,12.8,104.0,4.0,56.4,82.3,13.5
45,5,2016,Villarreal CF,67.0,35.0,18.0,25.15,180.09,73.39,75.27,8878787.0,47424.0,11.3,89.0,4.0,49.6,80.5,12.4
46,6,2016,Real Sociedad,64.0,30.0,24.0,24.45,181.73,75.06,72.7,5855606.0,8758.0,13.0,79.0,6.0,54.8,81.0,14.6
47,7,2016,Athletic Club Bilbao,63.0,36.0,18.0,25.27,182.2,77.03,75.1,7937500.0,45200.0,12.8,88.0,2.0,50.4,75.9,20.5
