,Ranking,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage,Shots pg,Yellowcard,RedCard,Possession%,Pass%,AerialsWon,Country
0,1,2014,Juventus,87.0,72.0,24.0,26.06,182.64,76.21,74.15,0.0,0.0,15.8,73,5,55.7,84.8,12.8,Italy
1,2,2014,AS Roma,70.0,54.0,31.0,26.24,182.09,75.61,73.45,0.0,0.0,13.8,103,5,57.5,85.0,11.6,Italy
2,3,2014,SS Lazio,69.0,71.0,38.0,26.21,182.91,76.97,72.64,0.0,0.0,14.5,104,9,52.7,80.2,15.7,Italy
3,4,2014,ACF Fiorentina,64.0,61.0,46.0,26.33,183.42,77.61,73.0,0.0,0.0,16.2,82,3,55.9,84.3,14.0,Italy
4,5,2014,Napoli,63.0,70.0,54.0,24.94,182.78,76.75,70.5,0.0,0.0,16.4,78,6,54.1,83.1,13.9,Italy
5,6,2014,Genoa,59.0,62.0,47.0,24.48,180.39,75.09,67.24,0.0,0.0,12.9,103,6,51.2,78.5,12.5,Italy
6,7,2014,Sampdoria,56.0,48.0,42.0,25.18,183.43,77.64,69.68,0.0,0.0,13.2,97,3,49.0,80.0,12.8,Italy
7,8,2014,FC Internazionale Milano,55.0,59.0,48.0,24.24,181.85,76.3,69.88,0.0,0.0,16.2,95,5,57.8,84.8,15.8,Italy
8,9,2014,Torino,54.0,48.0,45.0,26.64,182.94,76.67,69.55,0.0,0.0,14.4,97,5,48.8,81.8,12.7,Italy
9,10,2014,AC Milan,52.0,56.0,50.0,27.48,183.44,78.48,76.67,0.0,0.0,11.8,811,3,51.2,81.7,12.0,Italy
10,11,2014,Palermo,49.0,53.0,55.0,25.57,184.43,78.0,67.3,0.0,0.0,12.6,84,4,49.0,78.6,14.4,Italy
11,12,2014,Sassuolo Calcio,49.0,49.0,57.0,26.93,183.0,76.7,69.07,0.0,0.0,11.8,101,9,47.2,77.0,14.7,Italy
12,13,2014,Hellas Verona,46.0,49.0,65.0,26.26,182.77,75.42,67.81,0.0,0.0,12.1,97,7,44.0,78.4,14.4,Italy
13,14,2014,AC Chievo Verona,43.0,28.0,41.0,26.84,183.38,78.19,69.5,0.0,0.0,12.1,82,3,43.6,72.5,15.9,Italy
14,15,2014,Empoli,42.0,46.0,52.0,23.83,181.6,74.2,65.03,0.0,0.0,13.6,58,4,51.4,80.2,13.6,Italy
15,16,2014,Udinese Calcio,41.0,43.0,56.0,24.97,181.94,76.62,70.56,0.0,0.0,11.2,91,6,45.2,75.3,15.9,Italy
16,17,2014,Atalanta,37.0,38.0,57.0,27.59,180.28,75.34,69.07,0.0,0.0,12.1,103,9,46.2,75.7,15.8,Italy
17,18,2014,Cagliari Calcio,34.0,48.0,68.0,22.56,180.19,73.06,66.81,0.0,0.0,13.0,109,6,49.1,79.7,12.8,Italy
18,19,2014,Parma,24.0,36.0,73.0,27.0,182.52,76.12,68.27,0.0,0.0,9.5,102,4,45.2,74.9,17.4,Italy
19,20,2014,Cesena,19.0,33.0,75.0,25.41,182.56,78.19,64.31,0.0,0.0,11.0,100,8,45.2,77.7,11.2,Italy
20,1,2015,Juventus,91.0,37.0,6.0,26.31,182.96,77.31,79.35,15003846.0,102154.0,15.8,90,6,54.9,85.3,12.9,Italy
21,2,2015,Napoli,82.0,49.0,12.0,25.73,182.62,76.08,76.65,10291153.0,74000.0,17.3,69,2,59.3,85.8,12.9,Italy
22,3,2015,AS Roma,80.0,44.0,17.0,26.7,182.37,75.48,76.15,9617777.0,68556.0,15.3,79,5,55.7,83.0,15.6,Italy
23,4,2015,FC Internazionale Milano,67.0,29.0,15.0,25.18,181.93,76.89,75.43,8390178.0,61786.0,13.6,891,2,53.4,82.4,14.1,Italy
24,5,2015,ACF Fiorentina,64.0,34.0,16.0,25.76,184.24,78.16,73.96,5548000.0,43480.0,15.1,93,3,59.0,85.7,10.8,Italy
25,6,2015,Sassuolo Calcio,61.0,25.0,20.0,26.41,183.0,76.81,70.33,2776481.0,24333.0,12.8,90,6,50.9,77.7,14.6,Italy
26,7,2015,AC Milan,57.0,28.0,22.0,26.26,182.81,77.93,76.26,7828703.0,65963.0,14.4,92,3,52.1,79.8,14.2,Italy
27,8,2015,SS Lazio,54.0,32.0,23.0,25.87,183.5,77.7,75.23,7606666.0,59100.0,13.6,951,0,53.3,80.0,14.4,Italy
28,9,2015,AC Chievo Verona,50.0,25.0,18.0,28.11,183.18,78.43,71.29,2349821.0,27821.0,11.2,103,4,46.4,75.7,16.1,Italy
29,10,2015,Empoli,46.0,22.0,20.0,24.6,181.64,75.48,68.48,1839600.0,18440.0,12.6,92,6,52.4,82.1,10.4,Italy
30,11,2015,Genoa,46.0,29.0,19.0,25.62,181.38,75.55,71.79,3837413.0,34207.0,12.3,81,9,50.0,77.6,16.4,Italy
31,12,2015,Atalanta,45.0,27.0,21.0,27.7,182.63,77.52,71.81,2759629.0,29889.0,12.4,95,3,48.4,81.2,11.2,Italy
32,13,2015,Torino,45.0,25.0,25.0,26.68,183.71,77.79,74.04,4833214.0,38214.0,11.9,961,4,48.6,76.1,15.0,Italy
33,14,2015,Bologna,42.0,20.0,21.0,26.0,182.19,74.84,69.39,2073064.0,20645.0,10.1,88,7,47.0,77.8,14.4,Italy
34,15,2015,Sampdoria,40.0,29.0,25.0,25.54,182.54,77.39,70.46,3073571.0,29571.0,11.4,102,7,49.6,79.4,9.9,Italy
35,16,2015,Palermo,39.0,24.0,30.0,24.33,183.44,77.44,68.93,2221481.0,21296.0,10.8,95,6,44.4,76.1,13.1,Italy
36,17,2015,Udinese Calcio,39.0,18.0,28.0,25.36,182.46,76.04,72.32,3186607.0,30500.0,11.7,97,7,45.3,74.9,17.4,Italy
37,18,2015,Carpi,38.0,23.0,26.0,24.46,182.23,76.38,69.58,2037884.0,22846.0,11.3,105,6,41.3,69.2,13.9,Italy
38,19,2015,Frosinone,31.0,18.0,26.0,25.57,182.46,75.43,66.75,1152321.0,6321.0,12.8,108,5,42.4,68.9,15.2,Italy
39,20,2015,Hellas Verona,28.0,21.0,30.0,27.23,184.88,77.5,70.96,2210769.0,26500.0,11.9,89,7,45.7,74.9,14.4,Italy
40,1,2016,Juventus,91.0,48.0,9.0,27.33,183.41,79.59,81.0,17967592.0,80630.0,15.3,70,0,55.6,85.5,12.1,Italy
41,2,2016,AS Roma,87.0,50.0,18.0,25.58,181.62,75.23,76.19,11063653.0,55731.0,17.8,63,1,55.4,83.2,16.2,Italy
42,3,2016,Napoli,86.0,44.0,19.0,25.52,182.3,75.52,77.78,12563703.0,56852.0,17.7,58,2,59.0,87.2,10.9,Italy
43,4,2016,Atalanta,72.0,31.0,18.0,26.24,184.28,78.45,72.0,3467413.0,14207.0,14.1,85,3,50.5,81.2,11.9,Italy
44,5,2016,SS Lazio,70.0,40.0,23.0,24.23,183.81,76.03,74.0,6903225.0,40161.0,15.6,90,4,50.7,80.8,15.0,Italy
45,6,2016,AC Milan,63.0,32.0,20.0,25.48,183.44,76.7,76.78,8207407.0,51185.0,14.6,811,2,52.9,82.8,14.0,Italy
46,7,2016,FC Internazionale Milano,62.0,44.0,22.0,25.48,182.33,75.45,75.15,10423181.0,54576.0,16.7,74,5,54.1,82.2,13.9,Italy
47,8,2016,ACF Fiorentina,60.0,34.0,23.0,24.3,183.56,76.93,73.26,6502222.0,43000.0,16.2,92,6,55.9,84.8,10.3,Italy
48,9,2016,Torino,53.0,43.0,31.0,26.54,182.65,76.35,75.0,5849038.0,20308.0,15.2,80,4,50.5,81.4,12.1,Italy
49,10,2016,Sampdoria,48.0,28.0,23.0,25.31,182.62,77.34,72.07,3956724.0,14000.0,11.6,90,2,47.5,75.6,13.3,Italy
50,11,2016,Cagliari Calcio,47.0,38.0,34.0,28.33,183.12,75.38,72.12,2337083.0,6583.0,13.3,73,5,51.3,80.0,11.2,Italy
51,12,2016,Sassuolo Calcio,46.0,27.0,28.0,26.15,182.78,76.78,72.26,4570000.0,14667.0,11.2,97,8,44.9,75.6,14.6,Italy
52,13,2016,Udinese Calcio,45.0,30.0,23.0,24.69,183.69,75.93,74.0,4731896.0,18517.0,11.5,85,2,44.1,78.0,14.4,Italy
53,14,2016,AC Chievo Verona,43.0,25.0,30.0,28.23,183.1,78.0,71.3,2411500.0,4900.0,10.7,82,4,47.4,78.5,17.9,Italy
54,15,2016,Bologna,41.0,24.0,25.0,24.9,183.32,75.58,72.26,3637903.0,13097.0,11.1,841,1,47.8,80.2,12.1,Italy
55,16,2016,Genoa,36.0,24.0,24.0,25.03,181.52,75.86,71.34,3735689.0,16069.0,11.9,90,8,48.6,78.8,13.2,Italy
56,17,2016,FC Crotone,34.0,21.0,25.0,24.22,183.66,76.44,66.06,1153906.0,2375.0,10.7,87,4,40.4,67.2,14.2,Italy
57,18,2016,Empoli,32.0,16.0,29.0,25.88,180.54,74.65,71.08,2790769.0,5192.0,9.6,106,2,49.3,79.4,13.4,Italy
58,19,2016,Palermo,26.0,13.0,30.0,24.7,183.81,78.78,69.07,1993518.0,10000.0,10.2,94,9,46.9,77.9,14.0,Italy
59,20,2016,Pescara,18.0,19.0,38.0,24.58,181.03,75.12,67.09,1522272.0,2636.0,11.7,91,5,47.2,79.1,9.8,Italy
60,1,2017,Juventus,95.0,45.0,8.0,27.77,184.0,79.69,81.65,23734615.0,121731.0,14.6,64,1,56.0,87.2,12.3,Italy
61,2,2017,Napoli,91.0,43.0,18.0,26.07,180.48,74.3,77.67,15474814.0,62630.0,17.3,56,3,60.3,87.7,10.4,Italy
62,3,2017,AS Roma,77.0,31.0,19.0,26.04,182.67,76.67,77.37,13695555.0,59926.0,16.9,46,4,56.1,83.3,17.9,Italy
63,4,2017,FC Internazionale Milano,72.0,37.0,16.0,25.96,183.75,76.29,76.67,13677291.0,54542.0,15.1,69,1,55.1,85.7,14.7,Italy
64,5,2017,SS Lazio,72.0,45.0,21.0,25.12,183.48,76.88,73.24,8183333.0,34182.0,14.6,73,7,51.0,82.7,12.9,Italy
65,6,2017,AC Milan,64.0,25.0,16.0,24.71,183.81,77.26,75.58,11658387.0,63677.0,16.1,67,7,54.6,85.3,12.1,Italy
