,Year,Teams,Ranking,avg player value (EU),avg player wage,Transfer Spend (Euros),MA
0,2019,Liverpool,1.0,21008030.0,80818.0,9.36,109.94
1,2019,Manchester City,2.0,25628636.0,120727.0,150.14,168.87
2,2019,Manchester United,3.0,15202272.0,87091.0,192.6,148.53
3,2019,Chelsea,4.0,15302121.0,85030.0,40.5,154.29
4,2019,Leicester City,5.0,8232575.0,53000.0,93.87,92.13
5,2019,Tottenham Hotspur,6.0,19692424.0,78879.0,133.65000000000003,81.0
6,2019,Wolverhampton Wanderers,7.0,7016666.0,41970.0,109.62,
7,2019,Arsenal,8.0,13783636.0,61394.0,144.36,118.02
8,2019,Burnley,9.0,5392121.0,23939.0,17.47,
9,2019,Sheffield United,10.0,2932424.0,17909.0,64.35,
10,2019,Southampton,11.0,6386666.0,33273.0,52.74,54.63
11,2019,Everton,12.0,9732575.0,56606.0,108.9,127.2
12,2019,Newcastle United,13.0,6959545.0,29394.0,65.61,
13,2019,Crystal Palace,14.0,5760000.0,33939.0,6.84,20.52
14,2019,Brighton & Hove Albion,15.0,6023939.0,32061.0,67.45,69.2
15,2019,West Ham United,16.0,8412575.0,52939.0,108.18,83.37
16,2019,Aston Villa,17.0,4629090.0,28939.0,143.19,
17,2019,Bournemouth,18.0,6521515.0,38061.0,50.81,53.96
18,2019,Watford,19.0,7257424.0,47788.0,43.2,44.85
19,2019,Norwich City,20.0,3599393.0,23333.0,7.939000000000001,
20,2018,Manchester City,1.0,22951363.0,112758.0,70.73100000000001,183.33
21,2018,Liverpool,2.0,18015303.0,88212.0,163.98,130.79
22,2018,Chelsea,3.0,18798787.0,98970.0,187.92,180.63
23,2018,Tottenham Hotspur,4.0,18203333.0,76606.0,0.0,61.5
24,2018,Arsenal,5.0,12470909.0,76182.0,72.14,103.82
25,2018,Manchester United,6.0,19016666.0,106727.0,74.43,139.83
26,2018,Wolverhampton Wanderers,7.0,5249090.0,28364.0,101.03000000000002,
27,2018,Everton,8.0,8438181.0,59606.0,89.83,116.7
28,2018,Leicester City,9.0,7597727.0,44758.0,103.13999999999996,88.32
29,2018,West Ham United,10.0,7811060.0,53394.0,90.81,72.36
30,2018,Watford,11.0,5983636.0,35939.0,27.1,51.59
31,2018,Crystal Palace,12.0,5714696.0,32606.0,10.670000000000002,48.63
32,2018,Bournemouth,13.0,4545757.0,32364.0,80.19,49.23
33,2018,Newcastle United,14.0,5371818.0,29424.0,53.78000000000001,
34,2018,Burnley,15.0,5955303.0,34848.0,29.700000000000006,
35,2018,Southampton,16.0,5977121.0,30152.0,56.03,57.72
36,2018,Brighton & Hove Albion,17.0,4984545.0,28879.0,79.854,
37,2018,Cardiff City,18.0,2700151.0,23030.0,46.09,
38,2018,Fulham,19.0,5670757.0,30606.0,104.86,
39,2018,Huddersfield Town,20.0,4146818.0,23970.0,45.63,
40,2017,Manchester City,1.0,17536818.0,95667.0,285.75,222.21
41,2017,Manchester United,2.0,18503787.0,107788.0,178.56,161.82
42,2017,Tottenham Hotspur,3.0,15938030.0,68788.0,109.35,82.8
43,2017,Liverpool,4.0,14128030.0,83394.0,156.495,114.08
44,2017,Chelsea,5.0,20360909.0,107424.0,234.45,145.14
45,2017,Arsenal,6.0,15453030.0,91121.0,137.57,87.72
46,2017,Burnley,7.0,3971666.0,32697.0,32.166,
47,2017,Everton,8.0,10062121.0,75727.0,182.88,101.43
48,2017,Leicester City,9.0,7160151.0,45000.0,79.38,68.91
49,2017,Crystal Palace,10.0,5480454.0,35242.0,44.06,53.72
50,2017,Newcastle United,11.0,4879242.0,39848.0,41.85,
51,2017,Bournemouth,12.0,4161515.0,38273.0,30.87,39.03
52,2017,West Ham United,13.0,6894242.0,61818.0,51.12000000000001,57.9
53,2017,Watford,14.0,6571969.0,40848.0,64.26,67.62
54,2017,Brighton & Hove Albion,15.0,3647272.0,30788.0,60.3,
55,2017,Huddersfield Town,16.0,2671363.0,23273.0,51.08,
56,2017,Southampton,17.0,7053636.0,51182.0,55.13,57.08
57,2017,Stoke City,18.0,6050454.0,41909.0,51.93,45.04
58,2017,Swansea City,19.0,5102272.0,43879.0,66.047,45.99
59,2017,West Bromwich Albion,20.0,5029833.0,43800.0,48.15,40.29
60,2016,Chelsea,1.0,15741818.0,63333.0,119.52,108.3
61,2016,Tottenham Hotspur,2.0,11726060.0,47485.0,75.14999999999998,60.9
62,2016,Manchester City,3.0,14637727.0,59333.0,193.5,157.8
63,2016,Liverpool,4.0,11576060.0,51091.0,71.91,107.35
64,2016,Arsenal,5.0,15521969.0,62545.0,101.736,77.56
65,2016,Manchester United,6.0,17663593.0,69531.0,166.5,160.91
66,2016,Everton,7.0,8146969.0,45364.0,77.39999999999998,52.52
67,2016,Southampton,8.0,5041060.0,18576.0,62.00999999999999,67.5
68,2016,Bournemouth,9.0,2993484.0,5758.0,36.626,
69,2016,West Bromwich Albion,10.0,3303281.0,13156.0,34.11,31.71
70,2016,West Ham United,11.0,7179242.0,44121.0,75.15,51.41
71,2016,Leicester City,12.0,6775000.0,20364.0,82.44000000000003,49.31
72,2016,Stoke City,13.0,6788939.0,22303.0,34.903,28.27
73,2016,Crystal Palace,14.0,5042575.0,19455.0,91.17,48.4
74,2016,Swansea City,15.0,4705757.0,18848.0,52.29,36.43
75,2016,Burnley,16.0,1906818.0,5242.0,41.03999999999999,
76,2016,Watford,17.0,4477272.0,8818.0,63.41499999999999,
