,year,Teams,Transfer Spend (Euros),MA
0,2015,Bournemouth,49.604000000000006,
1,2016,Bournemouth,36.626,
2,2017,Bournemouth,30.869999999999997,39.03
3,2018,Bournemouth,80.19,49.23
4,2019,Bournemouth,50.809999999999995,53.96
5,1992,Arsenal,4.140000000000001,
6,1993,Arsenal,1.15,
7,1994,Arsenal,6.4719999999999995,3.92
8,1995,Arsenal,16.52,8.05
9,1996,Arsenal,5.5040000000000004,9.5
10,1997,Arsenal,19.837999999999997,13.95
11,1998,Arsenal,14.36,13.23
12,1999,Arsenal,22.87,19.02
13,2000,Arsenal,50.67,29.3
14,2001,Arsenal,29.422,34.32
15,2002,Arsenal,9.65,29.91
16,2003,Arsenal,27.558,22.21
17,2004,Arsenal,11.232000000000001,16.15
18,2005,Arsenal,41.400000000000006,26.73
19,2006,Arsenal,13.5,22.04
20,2007,Arsenal,27.86,27.59
21,2008,Arsenal,36.135,25.83
22,2009,Arsenal,10.8,24.93
23,2010,Arsenal,20.700000000000003,22.54
24,2011,Arsenal,58.92499999999999,30.14
25,2012,Arsenal,50.400000000000006,43.34
26,2013,Arsenal,44.324999999999996,51.22
27,2014,Arsenal,107.09,67.27
28,2015,Arsenal,23.85,58.42
29,2016,Arsenal,101.736,77.56
30,2017,Arsenal,137.57,87.72
31,2018,Arsenal,72.14,103.82
32,2019,Arsenal,144.35999999999999,118.02
33,1992,Aston Villa,3.5389999999999997,
34,1993,Aston Villa,3.825,
35,1994,Aston Villa,6.606,
36,1995,Aston Villa,10.806,
37,1996,Aston Villa,7.29,
38,1997,Aston Villa,9.45,
39,1998,Aston Villa,43.245999999999995,
40,1999,Aston Villa,8.64,
41,2000,Aston Villa,21.060000000000002,
42,2001,Aston Villa,23.490000000000002,
43,2002,Aston Villa,8.170000000000002,
44,2003,Aston Villa,7.54,
45,2004,Aston Villa,7.96,
46,2005,Aston Villa,14.89,
47,2006,Aston Villa,22.230000000000004,
48,2007,Aston Villa,22.41,
49,2008,Aston Villa,50.31,
50,2009,Aston Villa,42.21,
51,2010,Aston Villa,33.660000000000004,
52,2011,Aston Villa,18.307,
53,2012,Aston Villa,25.057,
54,2013,Aston Villa,17.856000000000005,
55,2014,Aston Villa,12.105,
56,2015,Aston Villa,59.894999999999996,
57,2019,Aston Villa,143.19,
58,1997,Barnsley,5.848,
59,2002,Birmingham City,14.128,
60,2003,Birmingham City,15.405,
61,2004,Birmingham City,14.2,
