,year,Teams,Transfer Spend (Euros),MA
0,2010,AC Cesena,5.908999999999999,
1,2011,AC Cesena,9.422999999999998,
2,2014,AC Cesena,8.864999999999998,
3,1992,AC Fiorentina,7.88,
4,1994,AC Fiorentina,4.95,
5,1995,AC Fiorentina,3.7800000000000002,
6,1996,AC Fiorentina,13.5,
7,1997,AC Fiorentina,8.28,
8,1998,AC Fiorentina,12.42,
9,1999,AC Fiorentina,22.23,
10,2000,AC Fiorentina,15.975000000000001,
11,2001,AC Fiorentina,4.81,
12,2004,AC Milan,9.899999999999999,
13,2005,AC Milan,30.15,
14,2006,AC Milan,37.265,25.77
15,2007,AC Milan,26.1,31.17
16,2008,AC Milan,66.5,43.29
17,2009,AC Milan,19.89,37.5
18,2010,AC Milan,45.589999999999996,43.99
19,2011,AC Milan,58.64500000000001,41.38
20,2012,AC Milan,53.65500000000001,52.63
21,2013,AC Milan,38.81,50.37
22,2014,AC Milan,15.214999999999998,35.89
23,2015,AC Milan,92.04299999999999,48.69
24,2016,AC Milan,26.599999999999994,44.62
25,2017,AC Milan,175.03199999999995,97.89
26,2018,AC Milan,169.01999999999998,123.55
27,2019,AC Milan,94.05000000000001,146.03
28,1992,AC Parma,0.0,
29,1993,AC Parma,1.35,
30,1994,AC Parma,7.155,2.84
31,1995,AC Parma,18.787000000000003,9.1
32,1996,AC Parma,8.265,11.4
33,1997,AC Parma,8.55,11.87
34,1998,AC Parma,27.270000000000003,14.7
35,1999,AC Parma,48.77,28.2
36,2000,AC Parma,58.864999999999995,44.97
37,2001,AC Parma,89.86200000000001,65.83
38,2002,AC Parma,44.864999999999995,64.53
39,2003,AC Parma,21.613999999999997,52.11
40,1996,AC Perugia,0.675,
41,1998,AC Perugia,3.15,
42,1999,AC Perugia,3.72,
43,2000,AC Perugia,4.950000000000001,
44,2001,AC Perugia,9.325,
45,2002,AC Perugia,0.0,
46,2003,AC Perugia,0.0,
47,1993,AC Reggiana,0.0,
48,1994,AC Reggiana,0.9,
