,Year,Teams,Ranking,avg player value (EU),avg player wage,Transfer Spend (Euros),MA
0,2019,Real Madrid,1.0,27207575.0,162242.0,317.25,166.73
1,2019,FC Barcelona,2.0,26342424.0,150000.0,245.7,236.88
2,2019,Atlético Madrid,3.0,17890151.0,44848.0,219.15,151.8
3,2019,Sevilla FC,4.0,10095454.0,14939.0,159.98,100.46
4,2019,Villarreal CF,5.0,6711718.0,21938.0,40.31999999999999,55.14
5,2019,Granada CF,6.0,2976481.0,11444.0,7.875,
6,2019,Real Sociedad,7.0,8236166.0,18433.0,19.125,16.42
7,2019,Getafe CF,8.0,7636833.0,18600.0,19.35,
8,2019,Valencia CF,9.0,12313787.0,29364.0,67.49999999999999,77.76
9,2019,CA Osasuna,10.0,3001000.0,16167.0,12.785,
10,2019,Athletic Bilbao,11.0,7924242.0,17848.0,0.0,19.47
11,2019,Levante UD,12.0,6258593.0,17531.0,11.34,
12,2019,SD Eibar,13.0,6158928.0,18643.0,15.39,9.76
13,2019,Real Valladolid CF,14.0,5103030.0,12152.0,1.26,
14,2019,Real Betis Balompié,15.0,10131612.0,18774.0,90.23,
15,2019,Deportivo Alavés,16.0,5214393.0,15424.0,9.7,9.94
16,2019,Celta de Vigo,17.0,6671969.0,14576.0,22.14,24.18
17,2019,CD Leganés,18.0,4199848.0,16152.0,14.76,12.36
18,2019,RCD Mallorca,19.0,2248148.0,12185.0,6.750000000000001,
19,2019,RCD Espanyol Barcelona,20.0,6696666.0,18400.0,55.35,30.34
20,2018,FC Barcelona,1.0,29925892.0,169536.0,116.19000000000004,192.41
21,2018,Atlético Madrid,2.0,19432727.0,46333.0,144.45000000000005,102.45
22,2018,Real Madrid,3.0,26668939.0,150333.0,146.48000000000005,69.98
23,2018,Valencia CF,4.0,13846774.0,31097.0,116.28000000000002,66.06
24,2018,Getafe CF,5.0,5911607.0,17071.0,24.53,
25,2018,Sevilla FC,6.0,9395000.0,17733.0,71.145,71.64
26,2018,Athletic Bilbao,7.0,7647878.0,17818.0,29.61,19.47
27,2018,RCD Espanyol Barcelona,8.0,5032166.0,16567.0,20.34,17.42
28,2018,Real Betis Balompié,9.0,11449423.0,23731.0,34.65,
29,2018,Deportivo Alavés,10.0,6250925.0,17037.0,9.017999999999999,8.6
30,2018,Real Sociedad,11.0,7781666.0,22700.0,10.8,15.45
31,2018,SD Eibar,12.0,6284137.0,19241.0,7.2,7.21
32,2018,CD Leganés,13.0,4398437.0,18750.0,16.83,9.07
33,2018,Villarreal CF,14.0,9303225.0,25871.0,83.60999999999999,58.49
34,2018,Levante UD,15.0,5660606.0,17394.0,23.4,
35,2018,Celta de Vigo,16.0,6915151.0,15758.0,26.55,19.32
36,2018,Real Valladolid CF,17.0,3030161.0,11097.0,9.09,
37,2018,Girona FC,18.0,6030178.0,23464.0,9.18,
38,2018,SD Huesca,19.0,3534615.0,15154.0,7.200000000000001,
39,2018,Rayo Vallecano,20.0,3905606.0,15364.0,11.07,
40,2017,FC Barcelona,1.0,29791666.0,188833.0,348.75,168.98
41,2017,Atlético Madrid,2.0,17692187.0,49406.0,91.8,97.38
42,2017,Real Madrid,3.0,31798076.0,182731.0,36.45,46.65
43,2017,Valencia CF,4.0,8939814.0,29407.0,49.50000000000001,70.47
44,2017,Villarreal CF,5.0,9173484.0,27576.0,41.49,44.78
45,2017,Real Betis Balompié,6.0,6960416.0,22542.0,34.65,
46,2017,Sevilla FC,7.0,11555185.0,20556.0,70.24499999999999,61.12
47,2017,Getafe CF,8.0,3379677.0,17000.0,11.615000000000002,
48,2017,Girona FC,9.0,4302758.0,24379.0,7.88,
49,2017,SD Eibar,10.0,6239655.0,16724.0,6.705000000000001,5.92
50,2017,Celta de Vigo,11.0,6351612.0,15839.0,23.85,15.36
51,2017,Real Sociedad,12.0,9283870.0,23161.0,19.35,19.38
52,2017,RCD Espanyol Barcelona,13.0,6871666.0,25000.0,15.345,11.58
53,2017,Deportivo Alavés,14.0,4818548.0,20581.0,11.1,
54,2017,Levante UD,15.0,4327812.0,15062.0,8.19,
55,2017,CD Leganés,16.0,4918965.0,19897.0,5.49,
56,2017,Athletic Bilbao,17.0,9794642.0,22643.0,28.8,12.0
57,2017,RCD Mallorca,18.0,5759090.0,22333.0,,
58,2017,UD Las Palmas,19.0,5950757.0,19364.0,0.315,2.9
59,2017,Málaga CF,20.0,5339848.0,18909.0,9.45,9.51
60,2016,Real Madrid,1.0,23399242.0,82848.0,27.0,72.3
61,2016,FC Barcelona,2.0,21955468.0,79688.0,112.28,102.74
62,2016,Atlético Madrid,3.0,17008448.0,63862.0,71.1,109.67
63,2016,Sevilla FC,4.0,11730370.0,61333.0,73.52999999999999,44.0
64,2016,Villarreal CF,5.0,8878787.0,47424.0,50.36,36.56
65,2016,Real Sociedad,6.0,5855606.0,8758.0,16.2,16.53
66,2016,Athletic Bilbao,7.0,7937500.0,45200.0,0.0,2.7
67,2016,RCD Espanyol Barcelona,8.0,5338392.0,10036.0,16.560000000000002,7.13
68,2016,Deportivo Alavés,9.0,3161666.0,6433.0,5.695000000000001,
69,2016,SD Eibar,10.0,4115769.0,9538.0,7.739999999999998,3.74
70,2016,Málaga CF,11.0,5250517.0,8069.0,11.282,6.81
71,2016,Valencia CF,12.0,8198387.0,42484.0,32.4,69.96
72,2016,Celta de Vigo,13.0,6278030.0,17788.0,7.56,8.55
