,year,Teams,Transfer Spend (Euros),MA
0,1992,Albacete Balompié,0.0,
1,1993,Albacete Balompié,0.0,
2,1994,Albacete Balompié,0.0,
3,1995,Albacete Balompié,0.63,
4,2003,Albacete Balompié,0.27,
5,2004,Albacete Balompié,0.0,
6,1992,Athletic Bilbao,0.0,
7,1993,Athletic Bilbao,0.0,
8,1994,Athletic Bilbao,1.17,0.39
9,1995,Athletic Bilbao,2.7,1.29
10,1996,Athletic Bilbao,0.0,1.29
11,1997,Athletic Bilbao,10.8,4.5
12,1998,Athletic Bilbao,0.0,3.6
13,1999,Athletic Bilbao,0.0,3.6
14,2000,Athletic Bilbao,0.0,0.0
15,2001,Athletic Bilbao,0.0,0.0
16,2002,Athletic Bilbao,0.0,0.0
17,2003,Athletic Bilbao,0.0,0.0
18,2004,Athletic Bilbao,0.0,0.0
19,2005,Athletic Bilbao,2.7,0.9
20,2006,Athletic Bilbao,7.2,3.3
21,2007,Athletic Bilbao,11.97,7.29
22,2008,Athletic Bilbao,0.27,6.48
23,2009,Athletic Bilbao,2.115,4.78
24,2010,Athletic Bilbao,2.448,1.61
25,2011,Athletic Bilbao,6.75,3.77
26,2012,Athletic Bilbao,2.25,3.82
27,2013,Athletic Bilbao,13.86,7.62
28,2014,Athletic Bilbao,0.9,5.67
29,2015,Athletic Bilbao,7.2,7.32
30,2016,Athletic Bilbao,0.0,2.7
31,2017,Athletic Bilbao,28.8,12.0
32,2018,Athletic Bilbao,29.61,19.47
33,2019,Athletic Bilbao,0.0,19.47
34,1992,Atlético Madrid,0.0,
35,1993,Atlético Madrid,0.0,
36,1994,Atlético Madrid,4.279999999999999,
37,1995,Atlético Madrid,1.6380000000000001,
38,1996,Atlético Madrid,3.285,
39,1997,Atlético Madrid,31.369999999999997,
40,1998,Atlético Madrid,18.72,
41,1999,Atlético Madrid,19.35,
42,2002,Atlético Madrid,23.759999999999994,
43,2003,Atlético Madrid,7.2,
44,2004,Atlético Madrid,11.970000000000002,
45,2005,Atlético Madrid,23.85,
46,2006,Atlético Madrid,51.41300000000001,
47,2007,Atlético Madrid,72.44999999999999,
48,2008,Atlético Madrid,23.85,
49,2009,Atlético Madrid,15.530000000000001,
50,2010,Atlético Madrid,30.65,
51,2011,Atlético Madrid,76.68000000000002,
52,2012,Atlético Madrid,4.05,
53,2013,Atlético Madrid,32.4,
54,2014,Atlético Madrid,128.65500000000003,
55,2015,Atlético Madrid,129.25000000000003,
56,2016,Atlético Madrid,71.1,
57,2017,Atlético Madrid,91.8,
58,2018,Atlético Madrid,144.45000000000002,
59,2019,Atlético Madrid,219.15,
60,1992,Burgos CF,0.327,
61,1992,CA Osasuna,0.0,
62,1993,CA Osasuna,0.0,
63,2000,CA Osasuna,0.0,
64,2001,CA Osasuna,1.62,
65,2002,CA Osasuna,0.0,
66,2003,CA Osasuna,1.62,
67,2004,CA Osasuna,0.0,
68,2005,CA Osasuna,0.9,
69,2006,CA Osasuna,0.36,
70,2007,CA Osasuna,9.05,
71,2008,CA Osasuna,4.545,
72,2009,CA Osasuna,1.08,
73,2010,CA Osasuna,2.508,
74,2011,CA Osasuna,2.34,
75,2012,CA Osasuna,0.54,
76,2013,CA Osasuna,2.79,
77,2016,CA Osasuna,1.98,
78,2019,CA Osasuna,12.785,
79,2016,CD Leganés,4.905,
80,2017,CD Leganés,5.49,
81,2018,CD Leganés,16.83,9.07
82,2019,CD Leganés,14.76,12.36
83,1992,CD Logroñés (liq.),0.0,
84,1993,CD Logroñés (liq.),0.0,
85,1994,CD Logroñés (liq.),0.0,
86,1996,CD Logroñés (liq.),0.0,
87,1999,CD Numancia,0.0,
88,2000,CD Numancia,0.0,
89,2004,CD Numancia,0.648,
90,2008,CD Numancia,0.27,
91,1992,CD Tenerife,0.0,
92,1993,CD Tenerife,0.0,
93,1994,CD Tenerife,0.0,
94,1995,CD Tenerife,0.0,
95,1996,CD Tenerife,2.7,
96,1997,CD Tenerife,12.6,
97,1998,CD Tenerife,7.56,
98,2001,CD Tenerife,0.0,
99,2009,CD Tenerife,0.54,
100,1996,CF Extremadura (diss.),0.784,
101,1998,CF Extremadura (diss.),0.0,
102,1995,CP Mérida (diss.),0.0,
103,1997,CP Mérida (diss.),4.755,
104,1992,Celta de Vigo,0.308,
105,1993,Celta de Vigo,0.0,
106,1994,Celta de Vigo,0.162,
107,1995,Celta de Vigo,0.0,
108,1996,Celta de Vigo,2.7,
109,1997,Celta de Vigo,0.72,
110,1998,Celta de Vigo,1.8,
111,1999,Celta de Vigo,13.964,
112,2000,Celta de Vigo,15.05,
113,2001,Celta de Vigo,7.199999999999999,
114,2002,Celta de Vigo,0.0,
115,2003,Celta de Vigo,2.25,
116,2005,Celta de Vigo,0.9,
117,2006,Celta de Vigo,4.275,
118,2012,Celta de Vigo,4.635000000000001,
119,2013,Celta de Vigo,4.5,
120,2014,Celta de Vigo,3.42,
121,2015,Celta de Vigo,14.670000000000002,
122,2016,Celta de Vigo,7.5600000000000005,
123,2017,Celta de Vigo,23.849999999999998,
124,2018,Celta de Vigo,26.549999999999997,
125,2019,Celta de Vigo,22.139999999999997,
126,1992,Cádiz CF,0.0,
127,2005,Cádiz CF,2.52,
128,2014,Córdoba CF,0.675,
